match_id,team,opponent,stage,Result_category,passes_completed,passes_attempted,Passing_Accuracy
2026-M093-POR-ESP,Spain,Portugal,Round of 16,Winner,490,548,89.41605839416059
2026-M094-USA-BEL,USA,Belgium,Round of 16,Loser,483,553,87.34177215189874
2026-M094-USA-BEL,Belgium,USA,Round of 16,Winner,340,423,80.37825059101655
2026-M095-ARG-EGY,Argentina,Egypt,Round of 16,Winner,558,618,90.29126213592234
2026-M095-ARG-EGY,Egypt,Argentina,Round of 16,Loser,316,382,82.72251308900523
2026-M096-SUI-COL,Switzerland,Colombia,Round of 16,Winner,561,641,87.5195007800312
2026-M096-SUI-COL,Colombia,Switzerland,Round of 16,Loser,462,562,82.20640569395017
2026-M097-FRA-MAR,France,Morocco,Quarter-final,Winner,450,497,90.54325955734407
2026-M097-FRA-MAR,Morocco,France,Quarter-final,Loser,469,539,87.01298701298701
2026-M098-ESP-BEL,Spain,Belgium,Quarter-final,Winner,625,693,90.18759018759019
2026-M098-ESP-BEL,Belgium,Spain,Quarter-final,Loser,254,320,79.375
2026-M099-NOR-ENG,Norway,England,Quarter-final,Loser,504,582,86.5979381443299
2026-M099-NOR-ENG,England,Norway,Quarter-final,Winner,593,653,90.81163859111791
2026-M100-ARG-SUI,Argentina,Switzerland,Quarter-final,Winner,629,716,87.84916201117319
2026-M100-ARG-SUI,Switzerland,Argentina,Quarter-final,Loser,404,476,84.87394957983193
2026-M101-FRA-ESP,France,Spain,Semi-final,Loser,417,496,84.07258064516128
2026-M101-FRA-ESP,Spain,France,Semi-final,Winner,439,517,84.91295938104449
2026-M102-ENG-ARG,England,Argentina,Semi-final,Loser,293,353,83.0028328611898
2026-M102-ENG-ARG,Argentina,England,Semi-final,Winner,549,610,90.0
2026-M103-FRA-ENG,France,England,Bronze final,Loser,412,453,90.94922737306842
2026-M103-FRA-ENG,England,France,Bronze final,Winner,479,535,89.53271028037383
2026-M104-ESP-ARG,Spain,Argentina,Final,Winner,789,878,89.86332574031891
2026-M104-ESP-ARG,Argentina,Spain,Final,Loser,375,476,78.78151260504201
