Match,TEAM,OPPONENT,STAGE,RESULT,PASSES COMPLETED,PASSES ATTEMPTED
2026-M059-TUR-USA,Turkiye,USA,Group Stage,W,353,456
2026-M059-TUR-USA,USA,Turkiye,Group Stage,L,424,495
2026-M060-PAR-AUS,Paraguay,Australia,Group Stage,D,345,418
2026-M060-PAR-AUS,Australia,Paraguay,Group Stage,D,446,526
2026-M061-NOR-FRA,Norway,France,Group Stage,L,367,449
2026-M061-NOR-FRA,France,Norway,Group Stage,W,492,549
2026-M062-SEN-IRQ,Senegal,Iraq,Group Stage,W,523,585
2026-M062-SEN-IRQ,Iraq,Senegal,Group Stage,L,200,280
2026-M063-EGY-IRN,Egypt,IR Iran,Group Stage,D,525,588
2026-M063-EGY-IRN,IR Iran,Egypt,Group Stage,D,280,359
2026-M064-NZL-BEL,New Zealand,Belgium,Group Stage,L,379,450
2026-M064-NZL-BEL,Belgium,New Zealand,Group Stage,W,475,530
2026-M065-CPV-KSA,Cabo Verde,Saudi Arabia,Group Stage,D,402,465
2026-M065-CPV-KSA,Saudi Arabia,Cabo Verde,Group Stage,D,370,455
2026-M066-URU-ESP,Uruguay,Spain,Group Stage,L,241,305
2026-M066-URU-ESP,Spain,Uruguay,Group Stage,W,570,637
2026-M067-PAN-ENG,Panama,England,Group Stage,L,231,306
2026-M067-PAN-ENG,England,Panama,Group Stage,W,500,562
2026-M068-CRO-GHA,Croatia,Ghana,Group Stage,W,487,538
2026-M068-CRO-GHA,Ghana,Croatia,Group Stage,L,411,466
2026-M069-ALG-AUT,Algeria,Austria,Group Stage,D,723,775
2026-M069-ALG-AUT,Austria,Algeria,Group Stage,D,355,405
2026-M070-JOR-ARG,Jordan,Argentina,Group Stage,L,239,300
2026-M070-JOR-ARG,Argentina,Jordan,Group Stage,W,762,824
2026-M071-COL-POR,Colombia,Portugal,Group Stage,D,491,547
2026-M071-COL-POR,Portugal,Colombia,Group Stage,D,421,456
2026-M072-COD-UZB,Congo DR,Uzbekistan,Group Stage,W,419,495
